"","date","plot","lai"
"1",2018-09-22,12,0.598107
"2",2018-09-22,12,0.649417
"3",2018-09-22,12,0.730877
"4",2018-09-22,1,1.18571
"5",2018-09-22,1,1.37752
"6",2018-09-22,1,1.00612
"7",2018-09-22,2,0.768894
"8",2018-09-22,2,0.628424
"9",2018-09-22,2,0.839953
"10",2018-09-22,3,0.353448
"11",2018-09-22,3,0.404388
"12",2018-09-22,3,0.366949
"13",2018-09-22,4,1.51883
"14",2018-09-22,4,1.4228
"15",2018-09-22,4,1.71252
"16",2018-09-22,5,1.76221
"17",2018-09-22,5,1.21882
"18",2018-09-22,5,1.30931
"19",2018-09-22,6,1.03277
"20",2018-09-22,6,0.826775
"21",2018-09-22,6,1.03259
"22",2018-09-22,7,0.535976
"23",2018-09-22,7,0.707991
"24",2018-09-22,7,2.22156
"25",2018-09-22,8,0.509178
"26",2018-09-22,8,0.636773
"27",2018-09-22,8,1.37255
"28",2018-09-22,9,0.863564
"29",2018-09-22,9,0.86962
"30",2018-09-22,9,0.582735
"31",2018-09-22,10,1.04403
"32",2018-09-22,10,1.45863
"33",2018-09-22,10,0.66916
"34",2018-09-22,11,0.7882
"35",2018-09-22,11,1.97324
"36",2018-09-22,11,1.52649
"37",2018-09-22,13,0.562487
"38",2018-09-22,13,0.661048
"39",2018-09-22,13,1.06573
"40",2018-09-22,14,1.40139
"41",2018-09-22,14,1.35366
"42",2018-09-22,14,1.29023
"43",2018-09-22,15,1.00956
"44",2018-09-22,15,0.847768
"45",2018-09-22,15,1.36186
"46",2018-09-22,16,0.484639
"47",2018-09-22,16,0.680912
"48",2018-09-22,16,0.592398
"49",2018-09-22,17,1.52378
"50",2018-09-22,17,1.23542
"51",2018-09-22,17,1.74674
"52",2018-09-22,18,0.221864
"53",2018-09-22,18,0.336767
"54",2018-09-22,18,0.290125
"55",2018-09-22,19,1.55404
"56",2018-09-22,19,0.907123
"57",2018-09-22,19,1.49677
"58",2018-09-22,20,0.63745
"59",2018-09-22,20,1.37289
"60",2018-09-22,21,0.676168
"61",2018-09-22,21,0.745314
"62",2018-09-22,21,0.515537
"63",2018-09-22,22,0.65044
"64",2018-09-22,22,1.89901
"65",2018-09-22,22,0.474133
"66",2018-09-22,26,0.803851
"67",2018-09-22,26,0.718913
"68",2018-09-22,26,0.476325
"69",2018-09-22,25,0.545359
"70",2018-09-22,25,0.120094
"71",2018-09-22,25,0.351336
"72",2018-09-22,31,1.18468
"73",2018-09-22,31,0.327007
"74",2018-09-22,31,1.12004
"75",2018-09-22,32,1.00873
"76",2018-09-22,32,0.745707
"77",2018-09-22,32,1.20711
"78",2018-09-22,23,1.5139
"79",2018-09-22,23,1.27634
"80",2018-09-22,23,1.47132
"81",2018-09-22,27,0.409627
"82",2018-09-22,27,0.609042
"83",2018-09-22,27,0.415992
"84",2018-09-22,28,1.82317
"85",2018-09-22,28,1.2557
"86",2018-09-22,28,1.15729
"87",2018-09-22,29,1.09582
"88",2018-09-22,29,1.24933
"89",2018-09-22,29,1.45626
"90",2018-09-22,30,0.841932
"91",2018-09-22,30,0.730458
"92",2018-09-22,30,1.20763
"93",2018-09-22,37,0.838807
"94",2018-09-22,37,0.903383
"95",2018-09-22,37,0.770344
"96",2018-09-22,36,2.47199
"97",2018-09-22,36,1.84241
"98",2018-09-22,36,2.03541
"99",2018-09-22,38,0.455828
"100",2018-09-22,38,1.09053
"101",2018-09-22,38,0.572777
"102",2018-09-22,39,0.702789
"103",2018-09-22,39,0.397209
"104",2018-09-22,39,0.730713
"105",2018-09-22,40,1.26608
"106",2018-09-22,40,1.31586
"107",2018-09-22,40,1.16239
"108",2018-09-22,35,0.758307
"109",2018-09-22,35,0.774686
"110",2018-09-22,35,0.887543
"111",2018-09-22,34,0.876799
"112",2018-09-22,34,0.195634
"113",2018-09-22,34,0.144978
"114",2018-09-22,33,0.315973
"115",2018-09-22,33,0.538288
"116",2018-09-22,33,0.300976
"117",2018-09-22,24,0.257113
"118",2018-09-22,24,0.453507
"119",2018-09-22,24,0.203456
